Product_Name,Product_Price,Product_Url,Product_Reviews,Product_Rating
Red Lemon BANGE Multifunctional Waterproof Anti-Thief Sling Bag with USB Charging (Camo),"1,899",www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDE5MTIxNjAzNzExNDE1OjE2ODUxNzczNzE6c3BfYXRmX25leHQ6MjAxMTY4NzkxNzM4OTg6OjA6Og&url=%2FRed-Lemon-Multifunctional-Waterproof-Anti-Thief%2Fdp%2FB0B12VQFVC%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685177370%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,146,4.3 
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,099",www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-19,"5,603",4.3 
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",649,www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-20,"3,050",4.4 
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,189,www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-21,"6,453",3.7 
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-22,144,3.8 
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",598,www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-23,"10,948",4.3 
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,988,www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-24,"5,704",4.4 
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-25,"2,714",3.8 
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,199",www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1685177370&sprefix=ba%2Caps%2C283&sr=8-26,"7,641",4.0 
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499",www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDE5MTIxNjAzNzExNDE1OjE2ODUxNzczNzE6c3BfbXRmOjIwMTEwMTgxNTExMTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685177370%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,168,4.3 
